"map$ENTIDAD","coats","list.files(""www/multimedia"") %>% sort()"
"AGUASCALIENTES","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Coat_of_arms_of_Aguascalientes.svg/50px-Coat_of_arms_of_Aguascalientes.svg.png","AGUASCALIENTES.png"
"BAJA CALIFORNIA","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Coat_of_arms_of_Baja_California.svg/50px-Coat_of_arms_of_Baja_California.svg.png","BAJA CALIFORNIA SUR.png"
"BAJA CALIFORNIA SUR","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Coat_of_arms_of_Baja_California_Sur.svg/50px-Coat_of_arms_of_Baja_California_Sur.svg.png","BAJA CALIFORNIA.png"
"CAMPECHE","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Coat_of_arms_of_Campeche.svg/50px-Coat_of_arms_of_Campeche.svg.png","CAMPECHE.png"
"CHIAPAS","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Coat_of_arms_of_Mexican_Federal_District.svg/50px-Coat_of_arms_of_Mexican_Federal_District.svg.png","CHIAPAS.png"
"CHIHUAHUA","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Coat_of_arms_of_Coahuila.svg/50px-Coat_of_arms_of_Coahuila.svg.png","CHIHUAHUA.png"
"CIUDAD DE MÉXICO","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Coat_of_arms_of_Colima.svg/50px-Coat_of_arms_of_Colima.svg.png","CIUDAD DE MÉXICO.png"
"COAHUILA DE ZARAGOZA","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Coat_of_arms_of_Chiapas.svg/1024px-Coat_of_arms_of_Chiapas.svg.png","COAHUILA DE ZARAGOZA.png"
"COLIMA","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Coat_of_arms_of_Chihuahua.svg/50px-Coat_of_arms_of_Chihuahua.svg.png","COLIMA.png"
"DURANGO","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Coat_of_arms_of_Durango.svg/50px-Coat_of_arms_of_Durango.svg.png","DURANGO.png"
"GUANAJUATO","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Escudo_de_armas_de_la_Ciudad_y_Estado_de_Guanajuato.svg/50px-Escudo_de_armas_de_la_Ciudad_y_Estado_de_Guanajuato.svg.png","GUANAJUATO.png"
"GUERRERO","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Coat_of_arms_of_Guerrero.svg/50px-Coat_of_arms_of_Guerrero.svg.png","GUERRERO.png"
"HIDALGO","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Escudo_del_Estado_Libre_y_Soberano_de_Hidalgo.png/60px-Escudo_del_Estado_Libre_y_Soberano_de_Hidalgo.png","HIDALGO.png"
"JALISCO","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Coat_of_arms_of_Jalisco.svg/50px-Coat_of_arms_of_Jalisco.svg.png","JALISCO.png"
"MEXICO","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Coat_of_arms_of_Mexico_State.svg/50px-Coat_of_arms_of_Mexico_State.svg.png","MEXICO.png"
"MICHOACAN DE OCAMPO","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Escudo_de_Michoacán.png/50px-Escudo_de_Michoacán.png","MICHOACÁN.png"
"MORELOS","https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Coat_of_arms_of_Morelos.svg/50px-Coat_of_arms_of_Morelos.svg.png","MORELOS.png"
"NAYARIT","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Coat_of_arms_of_Nayarit.svg/50px-Coat_of_arms_of_Nayarit.svg.png","NAYARIT.png"
"NUEVO LEON","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Coat_of_arms_of_Nuevo_Leon.svg/50px-Coat_of_arms_of_Nuevo_Leon.svg.png","NUEVO LEON.png"
"OAXACA","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Coat_of_arms_of_Oaxaca.svg/50px-Coat_of_arms_of_Oaxaca.svg.png","OAXACA.png"
"PUEBLA","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Coat_of_arms_of_Puebla.svg/50px-Coat_of_arms_of_Puebla.svg.png","PUEBLA.png"
"QUERETARO DE ARTEAGA","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Coat_of_arms_of_Queretaro.svg/50px-Coat_of_arms_of_Queretaro.svg.png","QUERETARO DE ARTEAGA.png"
"QUINTANA ROO","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Coat_of_arms_of_Quintana_Roo.svg/50px-Coat_of_arms_of_Quintana_Roo.svg.png","QUINTANA ROO.png"
"SAN LUIS POTOSI","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Coat_of_arms_of_San_Luis_Potosi.svg/50px-Coat_of_arms_of_San_Luis_Potosi.svg.png","SAN LUIS POTOSI.png"
"SINALOA","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Coat_of_arms_of_Sinaloa.svg/50px-Coat_of_arms_of_Sinaloa.svg.png","SINALOA.png"
"SONORA","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Coat_of_arms_of_Sonora.svg/50px-Coat_of_arms_of_Sonora.svg.png","SONORA.png"
"TABASCO","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Coat_of_arms_of_Tabasco_%28México%29.svg/50px-Coat_of_arms_of_Tabasco_%28México%29.svg.png","TABASCO.png"
"TAMAULIPAS","https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Coat_of_arms_of_Tamaulipas.svg/50px-Coat_of_arms_of_Tamaulipas.svg.png","TAMAULIPAS.png"
"TLAXCALA","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Coat_of_arms_of_Tlaxcala.svg/50px-Coat_of_arms_of_Tlaxcala.svg.png","TLAXCALA.png"
"VERACRUZ DE IGNACIO DE LA LLAVE","https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Coat_of_arms_of_Veracruz.svg/50px-Coat_of_arms_of_Veracruz.svg.png","VERACRUZ DE IGNACIO DE LA LLAVE.png"
"YUCATAN","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Coat_of_arms_of_Yucatan.svg/50px-Coat_of_arms_of_Yucatan.svg.png","YUCATAN.png"
"ZACATECAS","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Coat_of_arms_of_Zacatecas.svg/50px-Coat_of_arms_of_Zacatecas.svg.png","ZACATECAS.png"
